mountain,zone,coords,directions,description,no,routeName,difficulty
심학산,R,"37.709302,126.695709",,,1,V5,6c+
심학산,R,"37.709302,126.695709",,,2,Project,?
심학산,C7M8,"37.709302,126.695709",,,1,?,6a
심학산,C7M8,"37.709302,126.695709",,,2,?,6a
심학산,C7M8,"37.709302,126.695709",,,3,V2,6a+
심학산,C7M8,"37.709302,126.695709",,,4,C7M8,7a+
심학산,100,"37.709302,126.695709",,,1,Handlift,5+
심학산,100,"37.709302,126.695709",,,2,V2,6a
심학산,100,"37.709302,126.695709",,,3,God Hang,6a+
심학산,100,"37.709302,126.695709",,,4,V4,6b
심학산,100,"37.709302,126.695709",,,5,백일잔치,7a
심학산,100,"37.709302,126.695709",,,6,Chicken soup in june(6월의 닭백숙),7a
심학산,100,"37.709302,126.695709",,,7,Bride(새색시),7a
심학산,100,"37.709302,126.695709",,,8,Swip up,7b
심학산,Dead end,"37.709302,126.695709",,,1,브이비다,3+
심학산,Dead end,"37.709302,126.695709",,,2,dead end,6c
심학산,Dead end,"37.709302,126.695709",,,3,big bird,6c
심학산,Dead end,"37.709302,126.695709",,,4,sutu,7a
심학산,Dead end,"37.709302,126.695709",,,5,dead end(sit),7a
문학산,unattached,"37.429039,126.687700",,,1,broken egg,6b
북한산,upper RBs,"37.654980,126.959587",,,1,splinter,7a
북한산,upper RBs,"37.654980,126.959587",,,2,gimli,7b
북한산,the service area,"37.654980,126.959587",,,1,DMZ,5
북한산,the service area,"37.654980,126.959587",,,2,not-scott,6a
북한산,the service area,"37.654980,126.959587",,,3,smooth move,6a+
북한산,the service area,"37.654980,126.959587",,,4,innovation strategy,6c+
북한산,the service area,"37.654980,126.959587",,,5,anti-scott,6c+
북한산,the service area,"37.654980,126.959587",,,6,it goes like this,7a+
북한산,the service area,"37.654980,126.959587",,,7,mountain talk,7b
북한산,the service area,"37.654980,126.959587",,,8,omit,7c
북한산,the service area,"37.654980,126.959587",,,9,lucky,8b
북한산,the service area,"37.654980,126.959587",,,10,bouldering in blasphemy,7b+
북한산,mad rock,"37.657756,126.991573",,,1,mad rock,8a
북한산,killing time,"37.657756,126.991573",,,1,killing time,6a
북한산,killing time,"37.657756,126.991573",,,2,killing time diect,6c+
북한산,taco ded party,"37.657756,126.991573",,,1,cat butt,7b+
북한산,the maginot line,"37.657756,126.991573",,,1,evenflow,7b
북한산,sudukam,"37.657756,126.991573",,,1,deadhang start,5+
북한산,sudukam,"37.657756,126.991573",,,2,slab,6a
북한산,sudukam,"37.657756,126.991573",,,3,jump,6a
북한산,sudukam,"37.657756,126.991573",,,4,open heel,6a
북한산,sudukam,"37.657756,126.991573",,,5,wing,7b+
북한산,sudukam,"37.657756,126.991573",,,6,madonna,7c
북한산,sudukam,"37.657756,126.991573",,,7,sangwon traverse,7c
북한산,sudukam,"37.657756,126.991573",,,8,sangwon traverse campus,7c+
북한산,tunnel block,"37.611433,126.979802",,,1,꼬두람이,6a
북한산,tunnel block,"37.611433,126.979802",,,2,나봄(봄에 태어나다),6A+
북한산,tunnel block,"37.611433,126.979802",,,3,새난(새로 난),6A+
북한산,tunnel block,"37.611433,126.979802",,,4,길섶(길의 가장자리),6B+
북한산,tunnel block,"37.611433,126.979802",,,5,ivalu,6c+
북한산,tunnel block,"37.611433,126.979802",,,6,ivalu assis,7a
북한산,tunnel block,"37.611433,126.979802",,,7,삼대,78b+
북한산,dulle-gil block,"37.611433,126.979802",,,1,dumbo,6a
북한산,dulle-gil block,"37.611433,126.979802",,,2,opa traverse,6a+
북한산,dulle-gil block,"37.611433,126.979802",,,3,늘솔길 (언제나 솔바람이 부는 길),6a+
북한산,dulle-gil block,"37.611433,126.979802",,,4,수피아,6a+
북한산,dulle-gil block,"37.611433,126.979802",,,5,토리,6b
북한산,dulle-gil block,"37.611433,126.979802",,,6,santa claus,6b+
북한산,dulle-gil block,"37.611433,126.979802",,,7,첫 눈,6c+
북한산,dulle-gil block,"37.611433,126.979802",,,8,고색창연,7a
북한산,dulle-gil block,"37.611433,126.979802",,,9,차오름,7a
북한산,dulle-gil block,"37.611433,126.979802",,,10,pig bar,7b
북한산,?,"37.611433,126.979802",,,1,simthtield muses,6c
불암산,river sector,"37.658615,127.098789",,,1,slab1,5
불암산,iceberg sector,"37.658615,127.098789",,,1,iceberg,6a
불암산,iceberg sector,"37.658615,127.098789",,,2,푸르는 날,6a
불암산,iceberg sector,"37.658615,127.098789",,,3,iceberg slab,6a+
불암산,iceberg sector,"37.658615,127.098789",,,4,mushroom flower,6a+
불암산,iceberg sector,"37.658615,127.098789",,,5,not over till over,6b
